real_category,Status,Channel,date,num_of_ticket
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-09,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-11,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-14,1
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-16,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-17,2
Complaint::BukuWarung App::Account Blocked,Closed,Chat,2025-11-19,2
Complaint::BukuWarung App::Account Blocked,Closed,Email,2025-08-31,1
Complaint::BukuWarung App::Account Blocked,Closed,Email,2025-09-03,2
Complaint::BukuWarung App::Account Blocked,Closed,Email,2025-10-03,2
Complaint::BukuWarung App::Account Blocked,Closed,Email,2025-10-08,1
Complaint::BukuWarung App::Account Blocked,Closed,Email,2025-10-11,2
Complaint::BukuWarung App::Account Blocked,Closed,Facebook,2025-08-21,2
Complaint::BukuWarung App::Account Blocked,Closed,Instagram,2025-08-22,1
Complaint::BukuWarung App::Account Blocked,Closed,Instagram,2025-09-02,1
Complaint::BukuWarung App::Account Blocked,Closed,Instagram,2025-09-25,1
Complaint::BukuWarung App::Account Blocked,Closed,Phone,2025-10-24,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-08-23,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-09-02,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-09-06,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-09-08,2
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-09-23,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-10-16,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-10-27,2
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-10-29,1
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-10-30,4
Complaint::BukuWarung App::Account Blocked,Closed,Slack,2025-11-14,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-09-13,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-09-20,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-10-08,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-10-09,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-11-07,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-11-12,1
Complaint::BukuWarung App::Account Blocked,Closed,Web,2025-11-19,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-20,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-21,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-22,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-23,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-25,5
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-26,5
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-27,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-29,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-08-31,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-01,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-03,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-04,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-05,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-06,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-07,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-08,7
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-09,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-10,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-11,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-12,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-13,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-14,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-15,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-16,9
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-17,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-18,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-19,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-20,5
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-22,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-23,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-24,6
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-25,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-26,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-27,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-28,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-29,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-09-30,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-01,6
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-02,24
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-03,22
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-04,13
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-05,12
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-06,16
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-07,15
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-08,6
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-09,4
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-10,3
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-12,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-13,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-14,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-15,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-16,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-18,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-22,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-23,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-10-26,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-02,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-04,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-07,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-11,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-12,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-14,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Chat,2025-11-18,2
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Email,2025-09-03,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Email,2025-09-10,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Email,2025-09-29,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Facebook,2025-10-02,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-08-21,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-09-04,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-09-11,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-09-13,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-09-17,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-09-29,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-10-01,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Instagram,2025-10-06,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Slack,2025-08-23,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Slack,2025-08-25,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Slack,2025-08-28,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Slack,2025-09-19,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Slack,2025-10-15,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Slack,2025-11-14,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-08-27,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-09-02,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-09-06,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-09-08,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-09-29,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-10-01,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-10-02,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-10-08,1
Complaint::BukuWarung App::Akun Prioritas KYB Issue,Closed,Web,2025-11-15,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-08-24,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-08-28,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-08-29,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-08-31,7
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-01,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-02,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-03,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-04,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-05,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-06,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-08,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-10,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-13,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-16,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-17,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-09-29,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-05,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-08,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-13,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-14,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-19,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-20,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-10-22,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-01,3
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-02,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-03,3
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-04,4
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-05,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-08,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-10,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-11,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-13,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Chat,2025-11-15,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-08-28,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-09-01,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-09-02,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-09-12,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-09-17,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-09-19,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Instagram,2025-09-28,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-08-21,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-08-28,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-08-29,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-09-04,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-09-10,2
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-09-15,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-09-22,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-10-03,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-10-11,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-10-13,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-10-30,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-11-06,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-11-11,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Slack,2025-11-12,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Web,2025-08-29,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Web,2025-09-13,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Web,2025-09-17,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Web,2025-10-04,1
Complaint::BukuWarung App::App Crash/ Stop Working,Closed,Web,2025-10-05,1
Complaint::BukuWarung App::App Crash/ Stop Working,Waiting for Merchant Reply,Slack,2025-11-19,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-03,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-04,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-06,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-21,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-23,2
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-24,4
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-25,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-26,3
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-27,5
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-28,3
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-09-29,7
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-10-01,3
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Chat,2025-10-03,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Instagram,2025-09-23,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Instagram,2025-09-24,1
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Instagram,2025-09-28,2
Complaint::BukuWarung App::BW Maintenance Issue,Closed,Instagram,2025-10-03,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Chat,2025-08-23,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Chat,2025-08-29,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Chat,2025-09-04,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Chat,2025-09-18,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Chat,2025-09-30,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Chat,2025-10-08,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Instagram,2025-09-01,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Instagram,2025-09-20,1
Complaint::BukuWarung App::Bank Account Locked,Closed,Slack,2025-09-08,2
